OBJECTID,Northings,Eastings,z
1,720214.125,544116.5625,13.596
2,720213.9375,544119.4375,13.608
3,720213.8125,544123.8125,13.623
4,720213.8125,544130.125,13.644
5,720214.375,544134.875,13.617
6,720214.8125,544140.1875,13.549
7,720215.0625,544140.375,13.541
8,720214.8125,544145.3125,13.494
9,720215.0625,544151.5625,13.421
10,720214.875,544154.5625,13.392
11,720213.9375,544161.25,13.34
12,720217.5,544117.625,13.549
13,720215.5625,544117.625,13.578
14,720212.3125,544117.8125,13.626
15,720212.4375,544124.375,13.651
16,720212.6875,544124.375,13.646
17,720215.1875,544124.5625,13.602
18,720217.3125,544124.75,13.564
19,720212.5,544134.1875,13.665
20,720214.5625,544134.0625,13.621
21,720217.0625,544133.875,13.569
22,720213.1875,544145.6875,13.525
23,720213.5,544145.6875,13.519
24,720215.3125,544145.9375,13.476
25,720217.125,544146.125,13.435
26,720188.4375,544160.3125,13.905
27,720188,544189.5625,13.597
28,720188.0625,544202.8125,13.451
29,720188.3125,544216.25,13.301
30,720180.75,544216.5625,13.462
31,720174.9375,544216.4375,13.59
32,720174.375,544194.3125,13.842
33,720176.875,544194.125,13.79
34,720177.8125,544189.4375,13.819
35,720182.5,544189.75,13.714
36,720188.125,544171.75,13.788
37,720188.4375,544183.25,13.656
38,720180.9375,544184.25,13.809
39,720173.8125,544184.0625,13.964
40,720188,544129.6875,14.168
41,720187.8125,544143.875,14.096
42,720187.875,544154.5625,13.978
43,720174.875,544155.25,14.253
44,720175.125,544142.5625,14.386
45,720174.75,544130.5625,14.456
46,720181,544130.125,14.318
47,720174.75,544174,14.054
48,720188.25,544118.875,13.997
49,720188,544124.9375,14.094
50,720176.625,544125,14.301
51,720176.4375,544119.75,14.194
52,720183.0625,544119.0625,14.078
53,720183.1875,544125.0625,14.182
54,720214.125,544111.8125,13.58
55,720214.1875,544095.5,13.528
56,720213.9375,544089,13.508
57,720214.4375,544081.6875,13.485
58,720213,544074.5625,13.456
59,720207.9375,544073.4375,13.42
60,720201.625,544073.25,13.38
61,720193.3125,544071.6875,13.307
62,720186.875,544072.0625,13.268
63,720180.0625,544072.9375,13.238
64,720179.75,544072.9375,13.236
65,720179.375,544072.9375,13.234
